geocode,etiqueta,granularidad,gcd_iata,gcd_icao,longitud,latitud,geohash
CN_ZSWZ,Aeropuerto Internacional Wenzhou Longwan,AEROPUERTOS,WNZ,ZSWZ,120.851997,27.912201,wsvyy138re
CN_ZSYT,Aeropuerto de Yantai Laishan,AEROPUERTOS,YNT,ZSYT,121.372002,37.401699,wwwkcbu2sw
CN_ZUCK,Aeropuerto Internacional Chongqing Jiangbei,AEROPUERTOS,CKG,ZUCK,106.641998,29.7192,wm7c4dnqfs
CN_ZUUU,Aeropuerto Internacional Chengdu Shuangliu,AEROPUERTOS,CTU,ZUUU,103.946999,30.578501,wm3vvqeust
CN_ZWWW,Aeropuerto Internacional Ürümqi Diwopu,AEROPUERTOS,URC,ZWWW,87.474197,43.907101,tzy1y90c2s
CN_ZYCC,Aeropuerto de Longjia,AEROPUERTOS,CGQ,ZYCC,125.684998,43.996201,wzc6k1302w
CN_ZYCY,Aeropuerto de Chaoyang,AEROPUERTOS,CHG,ZYCY,120.434998,41.538101,wxmsk9f0fz
CN_ZYHB,Aeropuerto de Taiping,AEROPUERTOS,HRB,ZYHB,126.25,45.623402,yb1g8ckrw4
CN_ZYTL,Aeropuerto de Zhoushuizi,AEROPUERTOS,DLC,ZYTL,121.539001,38.965698,wwymttmzxu
CN_ZYTX,Aeropuerto de Taoxian,AEROPUERTOS,SHE,ZYTX,123.483002,41.639801,wxrucum96m
CO_SKAD,Aeropuerto de Alcides Fernández,AEROPUERTOS,ACD,SKAD,-77.3,8.51667,d3902yrv5q
CO_SKBO,Aeropuerto Internacional El Dorado,AEROPUERTOS,BOG,SKBO,-74.1469,4.70159,d2g68xzusp
CO_SKBQ,Aeropuerto Internacional Ernesto Cortissoz,AEROPUERTOS,BAQ,SKBQ,-74.7808,10.8896,d3fvfq6k90
CO_SKCC,Aeropuerto Internacional Camilo Daza,AEROPUERTOS,CUC,SKCC,-72.5115,7.92757,d3kmjgntrw
CO_SKCG,Aeropuerto Internacional Rafael Nuñez,AEROPUERTOS,CTG,SKCG,-75.513,10.4424,d3f73svp7s
